                     name    call_count    snap_count        taping   snapshoting       fwdtime     totaltime     totalsize  snapshottime
          cost_function_b             1             0             0             0       2438484       8042284             0             0
                   ctlopn             2             0             0             0             0        394032             0             0
                      day            45             0             0             0             0        799416             0             0
                  div_cur            30             0             0             0             0      96731632             0             0
              div_cur_bwd            15             0             0             0             0      67983276      -2619060             0
              div_cur_fwd            15             0             0             0             0      27441748       2619060             0
                  dyn_hpg            45             0             0             0             0      88985748             0             0
                dyn_hpg_b            15            15       2163540      10475520      45361480     109346936             0      10475520
                  dyn_keg            45             0             0             0             0     114211528             0             0
                dyn_keg_b            15            15       2343660       7856640      43186904     108940996             0       7856640
              dyn_ldf_lap            30             0             0             0             0      85254960             0             0
          dyn_ldf_lap_bwd            15             0             0             0             0      47178472          -120             0
          dyn_ldf_lap_fwd            15             0             0             0             0      41482464           120             0
                  dyn_nxt            45             0             0             0             0     112391232             0             0
                dyn_nxt_b            15            15       5070780      15713280      41849804     115727228             0      15713280
              dyn_spg_fsc            45             0             0             0             0     183946884             0             0
            dyn_spg_fsc_b            15            15        169800       6082680     180105924     135246120             0       6082680
              dyn_vor_ctl             3             0             0             0             0       1999332             0             0
        dyn_vor_enstrophy            45             0             0             0             0     177256200             0             0
      dyn_vor_enstrophy_b            15            15       9390660      10475520      88621524     238332532             0      10475520
                  dyn_zad            45             0             0             0             0     153944972             0             0
                dyn_zad_b            15            15       4497540      10475520      65535948     171349524             0      10475520
              dyn_zdf_imp            45             0             0             0             0     470252068             0             0
            dyn_zdf_imp_b            15            15      27936120      10475520     275336196     746957864             0      10475520
                  eos_bn2            45             0             0             0             0      52144828             0             0
           eos_insitu_pot            45             0             0             0             0      85461224             0             0
         eos_insitu_pot_b            15            15           180       2618940      20752060      41059320             0       2618940
                      flx            45             0             0             0             0       1062036             0             0
                  flx_rnf            45             0             0             0             0        297808             0             0
           func_to_diff_b             1             0      15770804             0    1284437680     193738048             0             0
               lbc_lnk_2d         48685             0             0             0             0      76385400             0             0
             lbc_lnk_2d_b          9740          9740         77920         84480       9496492      20221660             0         84480
               lbc_lnk_3d           585             0             0             0             0      93521600             0             0
             lbc_lnk_3d_b           150           150         37200       2618880       3148388      33259736             0       2618880
                 maxval_b            34             0             0             0             0        292908             0             0
                 oc_fz_pt            45             0             0             0             0       5067404             0             0
                  oce_sbc            30             0             0             0             0      11238196             0             0
              oce_sbc_bwd            15             0             0             0             0        743860        -42900             0
              oce_sbc_fwd            15             0             0             0             0       5850596         42900             0
                ptr_vj_3d            12             0             0             0             0       6280616             0             0
          run_steps_group             4             0             0             0             0         45108             0             0
        run_steps_group_b             4             4      59140456      15770784    1405864728     483889172             0      15770784
                  sol_sor            60             0             0             0             0     424305948             0             0
                sol_sor_b            15            15      47277180        169020     385996508     936238200             0        169020
                      stp            30             0             0             0             0      53866152             0             0
                    stp_b            15            15     113254440      59140380    1572341976     876062328             0      59140380
                  stp_ctl            30             0             0             0             0      22622260             0             0
                      tau            45             0             0             0             0      12488868             0             0
             tra_adv_cen2            45             0             0             0             0     449046756             0             0
           tra_adv_cen2_b            15            15      43289280      10475520     454007668    1000109348             0      10475520
              tra_adv_ctl             3             0             0             0             0       1338116             0             0
              tra_ldf_lap            45             0             0             0             0     172058576             0             0
            tra_ldf_lap_b            15            15       6847320      10475520      85329892     209732744             0      10475520
                  tra_nxt            30             0             0             0             0      68094000             0             0
              tra_nxt_bwd            15             0             0             0             0     139627248     -10141380             0
              tra_nxt_fwd            15             0             0             0             0      92506704      10141380             0
                  tra_qsr            30             0             0             0             0      10703696             0             0
              tra_qsr_bwd            15             0             0             0             0         18956          -240             0
              tra_qsr_fwd            15             0             0             0             0       5160416           240             0
                  tra_sbc            30             0             0             0             0       1949836             0             0
              tra_sbc_bwd            15             0             0             0             0        596916          -360             0
              tra_sbc_fwd            15             0             0             0             0        882200           360             0
              tra_zdf_imp            45             0             0             0             0     345362408             0             0
            tra_zdf_imp_b            15            15       8724060             0      69027776     194089464             0             0
                      wzv            30             0             0             0             0      16305480             0             0
                    wzv_b            15             0       2540152             0      17937584      40092476             0             0
                  zdf_bfr            45             0             0             0             0       1497132             0             0
                zdf_bfr_b            15            15        144180       5237760       7170644       2378232             0       5237760
             zdf_bfr_init             4             0             0             0             0       2676900             0             0
                  zdf_evd            45             0             0             0             0      26248920             0             0
                zdf_evd_b            15            15       1171860             0      18978552      18929648             0             0
                  zdf_mxl            45             0             0             0             0      30994084             0             0
